start, name, country, link
2017, Insurgency in Cabo Delgado, Tanzania, https://en.wikipedia.org/wiki/Insurgency_in_Cabo_Delgado
2020, Tigray conflict, Ethiopia, https://en.wikipedia.org/wiki/Tigray_conflict
1947, Insurgency in Kashmir, India, https://en.wikipedia.org/wiki/Insurgency_in_Jammu_and_Kashmir
1947, Insurgency in Kashmir, Pakistan, https://en.wikipedia.org/wiki/Insurgency_in_Jammu_and_Kashmir
1948, Internal conflict in Myanmar, Myanmar, https://en.wikipedia.org/wiki/Internal_conflict_in_Myanmar
1948, Insurgency in Balochistan, Pakistan, https://en.wikipedia.org/wiki/Insurgency_in_Balochistan
1948, Insurgency in Balochistan, Iran, https://en.wikipedia.org/wiki/Insurgency_in_Balochistan
1948, Israeli–Palestinian conflict, Palestine, https://en.wikipedia.org/wiki/Israeli%E2%80%93Palestinian_conflict
1948, Israeli–Palestinian conflict, Israel, https://en.wikipedia.org/wiki/Israeli%E2%80%93Palestinian_conflict
1960, Katanga insurgency, Dem. Rep. Congo, https://en.wikipedia.org/wiki/Katanga_insurgency
1960, South Thailand insurgency, Thailand, https://en.wikipedia.org/wiki/South_Thailand_insurgency
1964, War on drugs, Colombia, https://en.wikipedia.org/wiki/War_on_drugs
1967, Naxalite–Maoist insurgency, India, https://en.wikipedia.org/wiki/Naxalite%E2%80%93Maoist_insurgency
1969, Moro conflict, Philippines, https://en.wikipedia.org/wiki/Moro_conflict
1973, Oromo conflict, Ethiopia, https://en.wikipedia.org/wiki/Oromo_conflict
1996, Allied Democratic Forces insurgency, Dem. Rep. Congo, https://en.wikipedia.org/wiki/Allied_Democratic_Forces_insurgency
1996, Allied Democratic Forces insurgency, Uganda, https://en.wikipedia.org/wiki/Allied_Democratic_Forces_insurgency
1998, Communal conflicts in Nigeria, Nigeria, https://en.wikipedia.org/wiki/Communal_conflicts_in_Nigeria
2003, War in Darfur, Sudan, https://en.wikipedia.org/wiki/War_in_Darfur
2004, Insurgency in Khyber Pakhtunkhwa, Pakistan, https://en.wikipedia.org/wiki/Insurgency_in_Khyber_Pakhtunkhwa
2011, Sinai insurgency, Egypt, https://en.wikipedia.org/wiki/Sinai_insurgency
2011, Sudanese conflict in South Kordofan and Blue Nile, Sudan, https://en.wikipedia.org/wiki/Sudanese_conflict_in_South_Kordofan_and_Blue_Nile
2012, Central African Republic conflict, Central African Republic, https://en.wikipedia.org/wiki/Central_African_Republic_Civil_War_(2012%E2%80%93present)
2014, War in Donbass, Ukraine, https://en.wikipedia.org/wiki/War_in_Donbass
2016, Philippine Drug War, Philippines, https://en.wikipedia.org/wiki/Philippine_Drug_War
2017, Anglophone Crisis, Cameroon, https://en.wikipedia.org/wiki/Anglophone_Crisis
1999, Internal conflict in Bangladesh, Bangladesh, https://en.wikipedia.org/wiki/Terrorism_in_Bangladesh
2019, 2019–20 Persian Gulf crisis, Iran, https://en.wikipedia.org/wiki/2019%E2%80%9320_Persian_Gulf_crisis
2019, 2019–20 Persian Gulf crisis, Iraq, https://en.wikipedia.org/wiki/2019%E2%80%9320_Persian_Gulf_crisis
2019, 2019–20 Persian Gulf crisis, Saudi Arabia, https://en.wikipedia.org/wiki/2019%E2%80%9320_Persian_Gulf_crisis
